Notebook	page	cell	modulator	Rinput control	Rinput modulator	Vrest control	Vrest modulator	spike control	spike modulator
739	07	top	5ht	20.818	20.2433	-63.8105	-57.3306	-48.313	-59
739	07	bot	5ht	30.0014	30.2837	-63.5858	-55.1226	-61.375	-57.875
739	09	top	5ht	27.4175	29.521	-48.5469	-49.8984	-50.875	-44.813
739	09	bot	5ht	33.465	29.67367	-54.3242	-56.5859	-56.063	-50
739	15	top	5ht	26.7318	30.516	-62.8855	-59.6361	-35	-45.375
739	15	bot	5ht	24.8018	27.2071	-66.1944	-61.4325	-43.688	-55.938
739	26	top	5ht	23.7685	32.4463	-69.3072	-66.6776	-51	-67.938
739	26	bot	5ht	31.904	28.5684	-64.1786	-67.4914	-44.468	-72.625
739	30	top	5ht	22.1781	21.9189	-68.4531	-63.875	-37.75	-50.25
739	30	bot	5ht	35.4731	33.1635	-72.9102	-69.0859	-52.188	-54.625
739	35	top	5ht	23.8392	25.2831	-70.4794	-65.0524	-46.375	-52.375
739	35	bot	5ht	21.1219	37.9227	-73.4171	-67.6306	-43.313	-51.625
739	37	top	5ht	22.7307	22.6702	-49.4776	-50.9378	-46.563	-50.125
739	37	bot	5ht	16.9836	18.4855	-61.4349	-60.4377	-37.813	-32.75
739	39	top	5ht	26.2912	32.5258	-65.5464	-61.6285	-46.438	-58.5
739	39	bot	5ht	49.0043	46.918	-61.0884	-58.0691	-46.188	-53.25
739	43	top	5ht	24.052	18.9464	-63.9288	-61.2692	-45.063	-54.813
739	43	bot	5ht	36.5756	29.918	-55.8228	-53.8472	-40.313	-44.25
739	45	top	5ht	38.8868	32.8927	-68.7034	-66.1586	-54.25	-66.938
739	45	bot	5ht	20.0911	18.2451	-61.397	-60.3647	-45.813	-48.438
739	47	top	5ht	9.21285	11.3843	-51.3034	-51.2738	-45.5	-44.875
739	47	bot	5ht	14.5088	32.572	-62.3636	-54.764	-47.25	-46.688
739	48	top	5ht	31.3481	27.893	-57.857	-54.0886	-43.188	-48.75
739	48	bot	5ht	27.2766	49.9259	-58.5449	-54.0503	-42	-52.063
739	52	top	5ht	25.8556	26.7094	-66.1891	-67.8165	-52.625	-61.313
739	52	bot	5ht	26.3336	15.2101	-66.1694	-62.6001	-47.375	-67.063
739	57	top	5ht	6.37193	16.585	-67.526	-66.4848	-43.5	-50.563
739	57	bot	5ht	14.739	27.2506	-62.7401	-56.2905	-42.5	-44.938
739	63	top	5ht	37.4152	45.5137	-65.8388	-61.1805	-51.313	-55.063
739	63	bot	5ht	22.5162	29.0451	-62.519	-58.9523	-45	-52.625
739	65	top	5ht	20.9665	20.7435	-68.1458	-63.2319	-54.34	-57.15
739	65	bot	5ht	33.3779	35.3868	-61.9707	-59.6173	-51.11	-56.1
739	71	top	5ht	22.3288	28.3402	-69.6065	-65.8139	-49.188	-60.784
739	71	bot	5ht	17.6105	20.9862	-67.3558	-65.7831	-49.6142	-59.6552
739	145	top	oxo	18.2428	29.9532	-56.5865	-57.3796	-46.25	-42.75
739	145	bot	oxo	20.1335	22.7616	-51.916	-47.0856	-38.875	-45.75
739	149	top	oxo	28.7264	16.3926	-58.989	-63.4722	-43.125	-42
739	149	bot	oxo	46.63	20.7878	-60.3489	-55.725	-36.25	-44.438
758	13	top	oxo	23.5149	36.4207	-59.1577	-51.4764	-34.398	-41.875
758	13	bot	oxo	20.3817	32.8788	-60.8843	-57.1883	-44.25	-44.688
758	19	top	oxo	31.446	32.5001	-63.3725	-54.5538	-43.188	-41.25
758	19	bot	oxo	30.1392	30.8268	-59.2135	-54.2762	-44.75	-41.063
758	25	top	oxo	22.5895	19.914	-60.3434	-59.0985	-37.563	-37.563
758	25	bot	oxo	40.9493	30.1228	-58.7135	-55.2831	-37.188	-34.25
